Source,U_Kinetochores,SMAC,Replication,Rac1,pRB,Plk1_H,PAK1,p27Kip1,p21,Myc,Merlin,MCL_1,Mad2,IQGAP1_LeadingE,IAPs,Horizontal_Pol,Fast_Migration,f4N_DNA,Ect2,E2F1,DR4_5,Cytokinesis,Cyto_C,CyclinE,CyclinD1,CHK1,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,ATR,A_Kinetochores
Merlin,0,0,0,-0.7,0,0,-0.6,0,0,0,0.5,0,0,-0.8,0,-0.7,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCL_1,0.14733972551231436,-0.8998093422306959,0.11246235162819977,0.6,0.4038398818975647,0,0.5,0.3967152376965742,0.3803715048836239,-0.3620347952079833,-0.4,0.575077616612098,-0.007407407407407407,0.5,0.8,0.4,0.4,0.15184247872801554,0.12135739800714421,-0.3679238186820925,0,0.12592592592592594,-0.8998093422306959,0.15292375861522495,-0.3648142488505912,0.14785714285714285,-0.8,-0.6,-0.7,-0.5933878675250547,-0.997893440983154,-0.997893440983154,-0.9981254542177572,0.9967202393186394,0.9976122356528261,-0.9987785662036011,-0.9987785662036011,-0.6,0.135102983892263,0.17738296672306825
Mad2,-0.1,0.7,-0.1231818181818182,-0.4,-0.28316026724623683,0,-0.3,-0.27535493827160495,-0.26616438356164385,0.23533834586466168,0.2,-0.49622641509433957,0,-0.3,-0.6,-0.2,-0.2,-0.13333333333333333,-0.1,0.24021739130434785,0,0,0.7,-0.14998954131181833,0.2379591836734694,-0.1,0.6,0.4,0.5,0.5,0.8,0.8,0.9,-0.8,-0.8,0.8,0.8,0.4,-0.125,-0.1
IQGAP1_LeadingE,0,0,0,0.8,0,0,0.7,0,0,0,-0.6,0,0,0.9,0,0.9,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAPs,0.05478752504665503,-0.6732292402745019,-0.06814020024806149,0.8996581196581197,0.5162151487345874,0,0.8,0.5036831446641146,0.48193001752615744,-0.4824998797285648,-0.7,0.7309991576012294,-0.01271067106710671,0.8,0.5870461660085261,0.7,0.7,-0.011337135967367129,0.050837984366408816,-0.490778697766697,0,0.054008859293008936,-0.6732292402745019,-0.06689409892587588,-0.48037697500990506,-0.01509187459412758,-0.9921687643361479,-0.8996399639963997,-0.997962693898077,-0.7792428090744348,-0.7447495789857227,-0.7447495789857227,-0.7455625028571422,0.8362881735030117,0.844532793797226,-0.7551040055264201,-0.7551040055264201,-0.8997222222222222,-0.042591182265132844,0.0673492077563235
Horizontal_Pol,0,0,0,0.9,0,0,0.8,0,0,0,-0.7,0,0,1,0,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fast_Migration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f4N_DNA,0.062320645469620316,0.2053206215507664,-0.18384100250053853,-0.25670708067974835,-0.4224838848437423,0,-0.22911801688521644,-0.4108169750526184,-0.40281912661574537,0.41057258885118486,0.17894736842105263,-0.13946864879160148,-0.0713973675889071,-0.23011793698292554,-0.20372777843490342,-0.17894736842105263,-0.18095238095238095,0.028210603928280183,0.023563942372926645,0.4185211407809272,0,0.026215935878248674,0.2053206215507664,0.27255246153933055,0.5157319087697678,-0.1956308366685725,0.25090944332272647,0.2559799415714089,0.2673997673307685,0.08774310617228391,0.18185319448940607,0.18185319448940607,0.16118338870785265,-0.1996424165447656,-0.22759101191360004,0.21589636380316835,0.21589636380316835,0.26726113671274965,-0.1922913190433406,0.20854312735499367
Ect2,-0.06423750835950522,-0.21071943975626328,0.1956308366685725,0.17894736842105263,0.35350033852403523,0,0.1,0.3479926335174954,0.3510738255033557,-0.29130434782608694,0,0.09598322729901677,0.07058468890089918,0.1,0.2179767441860465,0,0,-0.13160515463756065,-0.03155109319699013,-0.2927272727272727,0,0.06649712723929001,-0.21071943975626328,-0.2646495956873315,-0.40684108527131785,0.19840861444635027,-0.24488970776395927,-0.17894736842105263,-0.22911801688521644,-0.05819536910549855,-0.16194787332049637,-0.16194787332049637,-0.13557018736388068,0.16999225627397868,0.2051675728906329,-0.20372777843490342,-0.20372777843490342,-0.18095238095238095,0.19618639222412806,-0.20311067490986848
E2F1,0.2388541139137251,0.7142905147144187,0.6256582473359283,-0.4982954545454545,-0.8153536703160912,0,-0.4,-0.8098151845491831,-0.7891224168641259,0.9509149259644782,0.3,-0.7980185068021654,-0.10619287741231609,-0.4,-0.6520934689665341,-0.3,-0.3,0.5717502882738663,0.13351402946537824,0.9547655339001144,0,0.12964153832015984,0.7142905147144187,0.8301276634054776,0.9065462831770923,0.531949118770458,0.667184864653096,0.498219584569733,0.5902893013453321,0.25174722565296476,0.754444866508305,0.754444866508305,0.7312563674405009,-0.6974995832659875,-0.7244686820099754,0.7714933810351502,0.7714933810351502,0.49863013698630143,0.5797889501719332,0.4702245204502818
DR4_5,-0.0533814295086437,0.6863582626510041,0.05820547960924718,-0.8,-0.45617251538067405,0,-0.7,-0.4314235460416042,-0.41349315041880674,0.42330858505347874,0.6,-0.6727626727200058,0.016174948240165632,-0.7,-0.5949965349965349,-0.6,-0.6,0.0019013180003183583,-0.04423101500396187,0.43253546748519145,0,-0.048757763975155285,0.6863582626510041,0.05442047351111638,0.42364395089664847,0.004681357951161397,0.7972169175881926,0.9,0.8996210326859309,0.7260944335386907,0.6659800283049785,0.6659800283049785,0.7668907602140148,-0.7600962364537951,-0.7661236583590443,0.7735831896227665,0.7735831896227665,0.9,0.03345165957529132,-0.07530608593410525
Cytokinesis,-0.06464790507633147,-0.20372777843490342,0.1922913190433406,0.22911801688521644,0.39501658401139983,0,0.17894736842105263,0.3856409614570855,0.384407158836689,-0.3619810395554103,-0.1,0.12118358348779683,0.06943658327518162,0.17894736842105263,0.21071943975626328,0.1,0.1,-0.12788864642667042,-0.026215935878248674,-0.36644522144522146,0,-0.03155109319699013,-0.20372777843490342,-0.2644654336247164,-0.4685829204190628,0.19618639222412806,-0.25042563238115595,-0.22911801688521644,-0.2559799415714089,-0.07713441052011,-0.16844900198866794,-0.16844900198866794,-0.1457255492433805,0.18420880556975333,0.21410512838042278,-0.2053206215507664,-0.2053206215507664,-0.23580952380952383,0.1956308366685725,-0.20744264025414574
Cyto_C,-0.05275326622403085,0.5843971483293648,0.06389784136650878,-0.8,-0.4519840940031262,0,-0.7,-0.4274105798019461,-0.4078062466923812,0.42027695463414033,0.6,-0.6567319014391104,0.016174948240165632,-0.7,-0.4943625462532403,-0.6,-0.6,0.00491764061745425,-0.04365431569929322,0.4297472092273322,0,-0.048757763975155285,0.5843971483293648,0.07313991400160391,0.4204903282480116,0.006776695824393453,0.8967204079462261,0.8,0.8995318899941486,0.7059975536923029,0.6602506041052509,0.6602506041052509,0.6607342968521664,-0.7522955004063745,-0.759919512759126,0.6692993347505386,0.6692993347505386,0.8,0.03730554197823961,-0.07462040408367245
CyclinE,0.2090295550006176,0.4680706801420584,0.6199506441292273,-0.2925925925925926,-0.9199959360609207,0,-0.2,-0.8164593689217445,-0.807968041409614,0.8506344727043199,0.1,-0.5505065669074484,-0.10862198211392327,-0.2,-0.4207757412240828,-0.1,-0.1,0.5551699187080656,0.10230512435261896,0.8539829813830181,0,0.09880181567219856,0.4680706801420584,0.7774542322345879,0.8035418485725012,0.521189293932421,0.4343866822561496,0.2925925925925926,0.3725672440501338,0.1439556204484822,0.48991856317816784,0.48991856317816784,0.4556547422782213,-0.4047115552274591,-0.43902948503459027,0.5105387652484413,0.5105387652484413,0.29358288770053476,0.5715081521164478,0.4455417169707762
CyclinD1,0.26948167316054394,0.586108558676818,0.5975298449115743,-0.3,-0.9741094351292106,0,-0.2,-0.9715426771500526,-0.7661571517130894,0.8891403397797184,0.1,-0.7204562491691905,-0.07792815915259035,-0.2,-0.49711538461538457,-0.1,-0.1,0.5402487260890823,0.1632077374377477,0.8905386031872575,0,0.1595932796064224,0.586108558676818,0.8472018049685508,0.9641609649354663,0.4828323049663414,0.49801324503311256,0.3,0.4,0.21124180782403196,0.6539303288620065,0.6539303288620065,0.6394197632627181,-0.6066227302542113,-0.6268374034597015,0.66434892670442,0.66434892670442,0.3,0.5413727597521689,0.45736427843177063
CHK1,-0.2544050394462919,-0.45069527217682265,-0.65127904879955,0.2,0.8631634155597372,0,0.1,0.8605317296832048,0.7554578784848556,-0.7811166764050584,0,0.5712974797080932,0.09977077271824356,0.1,0.3775870795564349,0,0,-0.5858930080982527,-0.13213763278944266,-0.7828968135513311,0,-0.12816991254734447,-0.45069527217682265,-0.8373665977102839,-0.951332483842377,-0.5394348330982134,-0.381965608064316,-0.2,-0.2957142857142857,-0.17306416657329743,-0.5008415322461528,-0.5008415322461528,-0.47631628817056615,0.4339013321392156,0.46117827130103217,-0.5148945111944636,-0.5148945111944636,-0.2,-0.5965652678808221,-0.48178787607309503
Casp9,-0.04227210247915954,0.6692993347505386,0.08913470613825727,-0.8995548135781858,-0.5036831446641146,0,-0.8,-0.4790789783702407,-0.45998380113124215,0.47290759490523004,0.7,-0.7217521741998919,0.010933568929820805,-0.8,-0.5843971483293648,-0.7,-0.7,0.030525652062375563,-0.04100605012674566,0.4824998797285648,0,-0.04365431569929322,0.6692993347505386,0.09791632677801669,0.47107344129419404,0.03730554197823961,0.89062219840891,0.8995318899941486,0.9974577590166183,0.7703087599735305,0.7394802216362159,0.7394802216362159,0.7404125748292525,-0.8309138806618626,-0.8394353739843291,0.7502537148233065,0.7502537148233065,0.8996399639963997,0.06389784136650878,-0.05063681587031922
Casp8,-0.043429170970266905,0.7735831896227665,0.08270667673614263,-0.8996407723394702,-0.50827873524948,0,-0.8,-0.48361666365845063,-0.4656545337041093,0.4765283741856766,0.7,-0.7408941831366725,0.01096232821273079,-0.8,-0.6863582626510041,-0.7,-0.7,0.02588857334852045,-0.0416970451178069,0.4859871933481229,0,-0.04423101500396187,0.7735831896227665,0.07724741506785614,0.4750542981680872,0.03345165957529132,0.8920166152450332,0.8996210326859309,0.9978849773893549,0.794672987154651,0.7484586119714548,0.7484586119714548,0.8498456350811517,-0.8419371882383911,-0.848834281069667,0.8576126736522506,0.8576126736522506,0.9997116077865897,0.05820547960924718,-0.05235346015371597
Casp3,-0.03482128623805447,0.7502537148233065,0.11382219604426198,-0.997606761630134,-0.5540855291648598,0,-0.8995548135781858,-0.5290931406701982,-0.5095222226629026,0.5250208776274612,0.8,-0.7830794307583624,0.004182356695579849,-0.8995947315096251,-0.6692993347505386,-0.8,-0.8,0.05432377974591185,-0.03943635569392858,0.5347331303489122,0,-0.04100605012674566,0.7502537148233065,0.12436720286373185,0.5211883299225646,0.06389784136650878,0.9804476585864282,0.9974577590166183,0.9926153948035024,0.8271089313164305,0.8155511345192578,0.8155511345192578,0.8167261298338376,-0.9058647683893544,-0.9154362096461994,0.8279320457740595,0.8279320457740595,0.997962693898077,0.08913470613825727,-0.029728486025195733
Casp2,-0.12727272727272726,0.8,-0.1057843641507008,-0.5,-0.33730039463477185,0,-0.4,-0.32928055810631573,-0.31542254379903256,0.29420627039296354,0.3,-0.5859864150943396,0,-0.4,-0.7,-0.3,-0.3,-0.13781094527363183,-0.10909090909090909,0.3000967276542724,0,-0.1,0.8,-0.13739180021711805,0.29725270764319184,-0.125,0.7,0.5,0.6,0.4975975975975976,0.899375,0.899375,0.9994811932555123,-0.8988099665303088,-0.8991817949373562,0.8996863974911798,0.8996863974911798,0.5,-0.1231818181818182,-0.14545454545454545
BIM,-0.11322537112010797,0.8995685005393744,-0.05874550482719472,-0.6,-0.38036300216840113,0,-0.5,-0.3686633882245518,-0.35114685711300664,0.3417310208750016,0.4,-0.563991991991992,0.010526315789473684,-0.5,-0.8,-0.4,-0.4,-0.10517386876182162,-0.08704453441295548,0.3489371564705947,0,-0.09473684210526316,0.8995685005393744,-0.09060335423098481,0.34497659886907084,-0.10456730769230768,0.8,0.6,0.7,0.5882977558839628,0.896124611248748,0.896124611248748,0.8964437759469721,-0.7942957694734585,-0.8957860397888787,0.9976803886512625,0.9976803886512625,0.6,-0.0839680567559781,-0.1462438146648673
BIK,-0.11322537112010797,0.8995685005393744,-0.05874550482719472,-0.6,-0.38036300216840113,0,-0.5,-0.3686633882245518,-0.35114685711300664,0.3417310208750016,0.4,-0.563991991991992,0.010526315789473684,-0.5,-0.8,-0.4,-0.4,-0.10517386876182162,-0.08704453441295548,0.3489371564705947,0,-0.09473684210526316,0.8995685005393744,-0.09060335423098481,0.34497659886907084,-0.10456730769230768,0.8,0.6,0.7,0.5882977558839628,0.896124611248748,0.896124611248748,0.8964437759469721,-0.7942957694734585,-0.8957860397888787,0.9976803886512625,0.9976803886512625,0.6,-0.0839680567559781,-0.1462438146648673
BID,-0.09283887468030691,0.49911699779249447,-0.005629408255534468,-0.6,-0.3530730346063863,0,-0.5,-0.33654013274125,-0.3122551566080978,0.3201107352712006,0.4,-0.5281261859582542,0.011764705882352941,-0.5,-0.4,-0.4,-0.4,-0.06558062017323536,-0.06713554987212275,0.3289103885494383,0,-0.08235294117647059,0.49911699779249447,0.0022849540496599264,0.3237546072176757,-0.0709090909090909,0.8,0.6,0.7,0.5637579169598874,0.49151847684131844,0.49151847684131844,0.4916771651968725,-0.5865616197901784,-0.5906137641561733,0.5950716903491288,0.5950716903491288,0.6,-0.03837897042716319,-0.1272378516624041
BCLXL,0.13832558139534884,-0.8997536945812807,0.09590885764266235,0.6,0.3967152376965742,0,0.5,0.389311041685539,0.37191655623932085,-0.35582290635885827,-0.4,0.5708736029359068,-0.008,0.5,0.8,0.4,0.4,0.13842161210490475,0.11186046511627908,-0.3620347952079833,0,0.12,-0.8997536945812807,0.13258409595511791,-0.3586995206798947,0.1358520062532569,-0.8,-0.6,-0.7,-0.5915594598054275,-0.997375487354215,-0.997375487354215,-0.9976374792755202,0.8959175843149293,0.9970407038050515,-0.9984763576352773,-0.9984763576352773,-0.6,0.12039746079871146,0.16944186046511628
BCL2,0.13832558139534884,-0.8997536945812807,0.09590885764266235,0.6,0.3967152376965742,0,0.5,0.389311041685539,0.37191655623932085,-0.35582290635885827,-0.4,0.5708736029359068,-0.008,0.5,0.8,0.4,0.4,0.13842161210490475,0.11186046511627908,-0.3620347952079833,0,0.12,-0.8997536945812807,0.13258409595511791,-0.3586995206798947,0.1358520062532569,-0.8,-0.6,-0.7,-0.5915594598054275,-0.997375487354215,-0.997375487354215,-0.9976374792755202,0.8959174854935112,0.8970407541108276,-0.9984763576352773,-0.9984763576352773,-0.6,0.12039746079871146,0.16944186046511628
BAX,-0.07479009419250202,0.5950716903491288,0.025159927865741016,-0.7,-0.4065117360160403,0,-0.6,-0.39053126356164913,-0.36813750954927427,0.3724996707280321,0.5,-0.5949261859582543,0.017199488491048593,-0.6,-0.49911699779249447,-0.5,-0.5,-0.03511378970640489,-0.05494042792090324,0.3813704524472019,0,-0.06713554987212275,0.5950716903491288,0.029453686175494053,0.3745766751752935,-0.03837897042716319,0.8994774657086871,0.7,0.8,0.6392590305456335,0.5795726640334367,0.5795726640334367,0.5796704948244434,-0.6726023856950579,-0.6787061092351526,0.585924812600668,0.585924812600668,0.7,-0.005629408255534468,-0.10821346141850166
BAK,-0.07479009419250202,0.5950716903491288,0.025159927865741016,-0.7,-0.4065117360160403,0,-0.6,-0.39053126356164913,-0.36813750954927427,0.3724996707280321,0.5,-0.5949261859582543,0.017199488491048593,-0.6,-0.49911699779249447,-0.5,-0.5,-0.03511378970640489,-0.05494042792090324,0.3813704524472019,0,-0.06713554987212275,0.5950716903491288,0.029453686175494053,0.3745766751752935,-0.03837897042716319,0.8994774657086871,0.7,0.8,0.6392590305456335,0.5795726640334367,0.5795726640334367,0.5796704948244434,-0.6726023856950579,-0.6787061092351526,0.585924812600668,0.585924812600668,0.7,-0.005629408255534468,-0.10821346141850166
BAD,-0.13599999999999998,0.8,-0.12039746079871146,-0.5,-0.3432708773634932,0,-0.4,-0.33568499333822766,-0.3220336522580562,0.29964498214139534,0.3,-0.48765101157378055,0,-0.4,-0.7,-0.3,-0.3,-0.1494145199063232,-0.12,0.3050858617884617,0,-0.1,0.8,-0.15208305211378179,0.3024722810586274,-0.1368421052631579,0.7,0.5,0.6,0.49815668202764973,0.8995136778115501,0.8995136778115501,0.8995985950827897,-0.9990817790530846,-0.9993606393606393,0.8997536945812807,0.8997536945812807,0.5,-0.1358520062532569,-0.152
ATR,-0.24102238981616414,-0.3775870795564349,-0.5965652678808221,0.1,0.7743511550233386,0,0,0.7724133193020207,0.66877104036080115,-0.6882969699061067,0,0.5106332009715253,0.08434284479031562,0,0.2941747572815534,0,0,-0.5334562570995842,-0.12816991254734447,-0.6896644704468653,0,-0.12344018281761474,-0.3775870795564349,-0.7546836708810155,-0.8639069973954081,-0.38001838747487116,-0.29527559055118113,-0.1,-0.2,-0.16342561235642997,-0.4391407857352797,-0.4391407857352797,-0.42084977414652497,0.3823614201341873,0.4049613400841009,-0.45069527217682265,-0.45069527217682265,-0.1,-0.5394348330982134,-0.4405639352526512
A_Kinetochores,-0.21174898293814323,-0.484561713209337,-0.05066822395754509,0.37889972899728996,0.29615291008478806,0,0.2951219512195122,0.2897990298636664,0.28745511100431204,-0.24778309592731648,-0.2,0.42211110356090165,-0.20911360989307118,0.29523809523809524,0.4494594948535301,0.2,0.2,0.07543478711550242,0.0046881967969198595,-0.25115261228230984,0,3.9304261189783277e-4,-0.484561713209337,0.20928837030405362,-0.11636928211828923,-0.08872727272727272,-0.49157301392690017,-0.3786805097780707,-0.4486133007225348,-0.35251864377570175,-0.5035706815667904,-0.5035706815667904,-0.48267251370838055,0.5602382076528594,0.5910391881662321,-0.5275238906571984,-0.5275238906571984,-0.3820803084368976,-0.06107869391590322,0.002623611297338291
