Source,ZEB1_H,ZEB1,YAP,WT1,U_Kinetochores,Twist,TRIO,TAZ,Stress_Fibers,SNAI2,SNAI1,Replication,Rac1,Plk1_H,PAK1,N_bcatenin_H,N_bcatenin,Mst1_2,miR_34,miR_200,Merlin,LEF1,Lats1_2,IQGAP1_LeadingE,Horizontal_Pol,FocalAdhesions,f4N_DNA,Ect2,Ecadherin_mRNA_H,Ecadherin_mRNA,Cytokinesis,b_catenin_TCF4,ApicalBasal_Pol,AMOT,A_Kinetochores
ZEB1_H,0.9,0.9,0.7,0.6,0,0.9,0.6,0.7,0.7,0.9,1,0,0.9,0,0.8,0.9,0.7,-0.7,-1,-1,-0.7,1,-0.6,0.8,0.7,0.8,0,0,-0.9,-1,0,0.9,-0.8,-0.6,0
ZEB1,1,0.9,0.7,0.6,0,0.9,0.6,0.7,0.7,0.9,1,0,0.9,0,0.8,0.9,0.7,-0.7,-1,-1,-0.7,1,-0.6,0.8,0.7,0.8,0,0,-0.9,-1,0,0.9,-0.8,-0.6,0
YAP,0.6,0.6,0.9,0.9,0,0.6,0.9,0.8,0.8,0.7,0.7,0,0.9,0,0.8,0.7,0.8,-0.8,-0.6,-0.6,-0.7,0.5,-0.7,0.9,0.9,0.9,0,0,-1,-0.6,0,0.6,-0.9,-0.6,0
WT1,0.6,0.6,0.7,0.6,0,0.4,0.6,0.7,0.6,0.7,0.5,0,0.7,0,0.6,0.6,0.7,-0.7,-0.5,-0.5,-0.5,0.5,-0.6,0.7,0.8,0.7,0,0,-0.8,-0.6,0,0.6,-0.8,-0.5,0
U_Kinetochores,0,0,0,0,0.0019129137570175821,0,0,0,0,0,0,-0.25798997883114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20215304497998496,-0.21243188783722236,0,0,-0.21703532655047802,0,0,0,0.2600342874724181
Twist,0.9,0.9,0.7,0.6,0,0.7,0.6,0.7,0.7,1,0.8,0,0.9,0,0.8,0.9,0.7,-0.7,-0.8,-1,-0.7,0.9,-0.6,0.8,0.7,0.8,0,0,-0.9,-1,0,0.9,-0.8,-0.6,0
TRIO,0.6,0.6,0.8,0.7,0,0.7,0.7,0.7,0.8,0.6,0.7,0,0.9,0,0.8,0.6,0.6,-0.6,-0.6,-0.7,-0.7,0.6,-0.6,0.9,0.8,0.9,0,0,-0.7,-0.7,0,0.6,-0.7,-0.7,0
TAZ,0.6,0.6,0.8,0.7,0,0.6,0.7,0.7,0.7,0.7,0.6,0,0.8,0,0.7,0.6,0.7,-0.7,-0.6,-0.6,-0.6,0.5,-0.7,0.9,0.9,0.8,0,0,-0.7,-0.6,0,0.6,-0.8,-0.6,0
Stress_Fibers,0.5,0.5,0.9,0.8,0,0.5,0.8,0.8,0.7,0.6,0.6,0,0.8,0,0.7,0.6,0.7,-0.7,-0.5,-0.5,-0.6,0.4,-0.6,0.8,0.9,0.8,0,0,-0.9,-0.5,0,0.5,-0.8,-0.5,0
SNAI2,1,1,0.7,0.6,0,0.8,0.6,0.7,0.6,1,0.9,0,0.8,0,0.7,0.8,0.7,-0.7,-0.9,-0.9,-0.6,0.9,-0.6,0.7,0.7,0.7,0,0,-0.9,-1,0,1,-0.8,-0.5,0
