Source,ZEB1_H,ZEB1,Wee1,UbcH10,Twist,SNAI2,SNAI1,SMAC,pRB,Plk1,pAPC,p27Kip1,p21,N_bcatenin_H,Myc,miR_34,miR_200,MCL_1,LEF1,IAPs,FoxM1,Emi1,E2F1,Cyto_C,CyclinE,CyclinD1,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,b_catenin_TCF4
ZEB1_H,0.9,0.9,0,0,0.9,0.9,1,0,0,0,0,0,0,0.9,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
ZEB1,1,0.9,0,0,0.9,0.9,1,0,0,0,0,0,0,0.9,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
Wee1,-0.032805019131832223,-0.03903157780652804,0.299638923349663,-0.031428376403139835,0.01465088784476446,-0.024003202236044525,-0.038738403615023356,-0.05958763955049888,0.12894733673779898,-0.4107799531575484,-0.31949467515668994,0.266551718740731,0.2605069496965808,-0.018607786829108554,-0.15276437741041776,0.038738403615023356,0.17858553081389966,0.17941550693201666,-0.05794480484117528,0.059392476472230685,-0.3282697969068596,0.3176726207459489,-0.08171252736956255,-0.05958763955049888,-0.25819288531588913,-0.17827338967699743,-0.016579153953883662,-0.299951614119617,0.05721980860515933,-0.4632446794196743,0.14550290566423235,-0.36596886282587743,-0.327111758373595,-0.2928822907280131,-0.01096304674823276,-0.06557192549356641,-0.059863114181038526,-0.06566351944952889,0.31384883205852854,-0.058805559964012585,-0.058805559964012585,-0.012839985340654097,0.02438797267597115,0.03399474569064174,-0.05953034309007915,-0.05953034309007915,-0.061384987990904916,-0.02365355076136819
UbcH10,0.4330691969197984,0.40526586143457355,0.4573480823038946,-0.07678678771562097,0.40726567903907807,0.4089081676803688,0.4587692603171193,0.14075525837589403,0.342660345851702,-0.4616002384458794,-0.2435353665519732,0.3794946547397068,0.15999356194169187,0.33860866822233004,-0.07729725299577521,-0.4587692603171193,-0.3542376225741717,0.01699235044294799,0.43797677896994125,-0.14291858558911347,-0.44516652628134257,0.22103734841274214,0.1551642750567387,0.14075525837589403,-0.17118951716383463,-0.07939980332139042,-0.2493362506955264,-0.23104143157281806,-0.3064757803197648,-0.44965281361028425,0.3527589058597183,-0.4415739721354897,-0.4373725935886748,-0.36919849222071477,0.13044770749888848,0.15694532437857273,0.15933758978451715,0.1640051371204925,0.3169734516733201,0.11055840726659534,0.11055840726659534,0.14453279207186426,-0.14353667296180722,-0.1506232280918539,0.1394784088690078,0.1394784088690078,0.1658465233332056,0.399405890876404
Twist,0.9,0.9,0,0,0.7,1,0.8,0,0,0,0,0,0,0.9,0,-0.8,-1,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
SNAI2,1,1,0,0,0.8,1,0.9,0,0,0,0,0,0,0.8,0,-0.9,-0.9,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SNAI1,0.9,0.9,0,0,1,0.9,0.9,0,0,0,0,0,0,0.9,0,-0.9,-1,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
SMAC,-0.09337344393295197,-0.1339698001840182,-0.5065001498116971,0.08289249691147708,-0.5949680038577834,-0.29562937302375414,-0.090696529861781075,0.49400067729376496,-0.4058859787705459,0.31133847764022565,0.2168177355449452,-0.3857314327044395,-0.4062150925802802,0.0022926663769381626,0.3564128964201202,0.090696529861781075,0.06554006145476124,-0.5073699709633029,-0.07657063057712928,-0.5493022337139984,0.088586096581574,0.13898271723383804,0.26500543667256965,0.49400067729376496,0.026161165330967396,0.3800372925853869,-0.0020583320657238265,0.3208403224436868,0.15530517176329103,0.4324800057944837,-0.19502565631570606,0.26792111119041184,0.06515958140481727,0.18869448083573612,-0.13144863113926827,0.8644144312535079,0.7976401179941003,0.8894433966826248,0.28186292558555215,0.4876020458240811,0.4876020458240811,0.4755271035639613,-0.4775961700401292,-0.5161802703966751,0.5208953217653918,0.5208953217653918,0.7981308411214953,-0.11301274688884608
pRB,0.4210486554604215,0.3193740609274307,0.4737133469690146,-0.3028628743153033,0.37041258528942933,0.48520708109238786,0.40905645426500126,-0.1956477721976609,0.5397556389673503,-0.5925308474123742,-0.3014061784047765,0.54260595377045,0.6050180881002905,0.4726051285472604,-0.5651702049267493,-0.40905645426500126,0.02471560578982791,0.41392719071046286,0.22712794672288578,0.19118467110613557,-0.5922851792349074,-0.11557682167946126,-0.29809922633976094,-0.1956477721976609,-0.6206268744278522,-0.6208579699750534,-0.3345242228451039,-0.6626116923357057,-0.3495049171412832,-0.4378531079881777,0.48450517513599206,-0.542817043509994,-0.5737049887531889,-0.6473973803549946,0.17706129981421265,-0.2063953032080806,-0.19933333333333333,-0.20763461140753608,0.3918013522507639,-0.1738276100654459,-0.1738276100654459,-0.12887694315359463,-0.015763656789670354,9.692071562993863e-4,-0.19887717576306332,-0.19887717576306332,-0.20804661289944965,0.4962825930247396
Plk1,0.23230632897926032,0.2291550350460812,-0.06369616020058683,-0.06089581762112732,0.28909503644163503,0.22359148159353412,0.2697498170563897,-0.2760685178393009,0.1665855838339497,0.05753324052310377,0.2787304844715308,0.06861042946834714,0.06619194776851162,0.17728013428296868,-0.015587853986114753,-0.2697498170563897,-0.2172828923279257,-0.0133269754565457,0.26433276811037676,0.27222955838219287,0.08611837932912898,-0.12954465044740182,0.1378071672456059,-0.2760685178393009,-0.027608218319873406,-0.01722278339076245,-0.12710582051967792,0.09296574284779775,-0.17474431725352255,0.12230714278477886,0.14656227550934303,0.12041813147891485,0.08938447341154959,0.0464836274056559,0.15156623883361695,-0.3144188230410092,-0.31562626532717064,-0.326872300669264,0.0059706861249136664,-0.25524003957665065,-0.25524003957665065,-0.2506721749094592,0.25016688763405714,0.2863575097616631,-0.2786030638740863,-0.2786030638740863,-0.3301211407923154,0.21489210325660668
