Source,ZEB1_H,ZEB1,U_Kinetochores,Twist,SNAI2,SNAI1,Replication,Rac1,Plk1_H,PAK1,N_bcatenin_H,miR_34,miR_200,Merlin,LEF1,IQGAP1_LeadingE,Horizontal_Pol,f4N_DNA,Ect2,Cytokinesis,b_catenin_TCF4,A_Kinetochores
ZEB1_H,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,1,0,0,0,0,0,0,0
ZEB1,1,0,0,0,0,1,0,0,0,0,0,-1,-1,0,1,0,0,0,0,0,0,0
U_Kinetochores,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1
Twist,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
SNAI2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SNAI1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,1,0
Replication,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rac1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Plk1_H,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
PAK1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
N_bcatenin_H,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
miR_34,0,0,0,-1,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
miR_200,-1,-1,0,0,0,0,0,-1,0,0,-1,0,1,0,-1,0,0,0,0,0,0,0
Merlin,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEF1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IQGAP1_LeadingE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Horizontal_Pol,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
f4N_DNA,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Ect2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cytokinesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
b_catenin_TCF4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_Kinetochores,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1
